market_region,source_key,dish_family_key,dish_variant_key,display_name_tr,display_name_en,aliases_tr,aliases_en,category,origin_region,preparation_state,discovery_source_url,evidence_class,source_record_id,source_version,license_id,rights_review,preferred_nutrition_source,nutrition_basis_candidate,review_status
UK_IE,UK_IE:LOCAL_DISH:PREPARED:flan:lentil_tomato_homemade,flan,lentil_tomato_homemade,Ev Yapımı Mercimekli Domatesli Flan,Homemade Lentil and Tomato Flan,Mercimekli Domatesli Flan,Lentil and Tomato Flan,PASTRY,UK,PREPARED,https://www.gov.uk/government/publications/composition-of-foods-integrated-dataset-cofid,OFFICIAL_COMPOSITION_DATASET,15-800,COFID-2021,OGL-3.0_EXCEPT_WHERE_OTHERWISE_STATED,PENDING_ROW_REVIEW,COFID_2021,SOURCE_REPORTED,EXACT_PROFILE_PENDING_RIGHTS
UK_IE,UK_IE:LOCAL_DISH:PREPARED:flan:spinach_homemade,flan,spinach_homemade,Ev Yapımı Ispanaklı Flan,Homemade Spinach Flan,Ispanaklı Flan,Spinach Flan,PASTRY,UK,PREPARED,https://www.gov.uk/government/publications/composition-of-foods-integrated-dataset-cofid,OFFICIAL_COMPOSITION_DATASET,15-802,COFID-2021,OGL-3.0_EXCEPT_WHERE_OTHERWISE_STATED,PENDING_ROW_REVIEW,COFID_2021,SOURCE_REPORTED,EXACT_PROFILE_PENDING_RIGHTS
UK_IE,UK_IE:LOCAL_DISH:PREPARED:flan:vegetable_homemade,flan,vegetable_homemade,Ev Yapımı Sebzeli Flan,Homemade Vegetable Flan,Sebzeli Flan,Vegetable Flan,PASTRY,UK,PREPARED,https://www.gov.uk/government/publications/composition-of-foods-integrated-dataset-cofid,OFFICIAL_COMPOSITION_DATASET,15-804,COFID-2021,OGL-3.0_EXCEPT_WHERE_OTHERWISE_STATED,PENDING_ROW_REVIEW,COFID_2021,SOURCE_REPORTED,EXACT_PROFILE_PENDING_RIGHTS
UK_IE,UK_IE:LOCAL_DISH:PREPARED:lamb_heart_casserole:homemade,lamb_heart_casserole,homemade,Ev Yapımı Kuzu Yürekli Güveç,Homemade Lamb Heart Casserole,Kuzu Yürekli Güveç,Lamb Heart Casserole,MAIN_DISH,UK,PREPARED,https://www.gov.uk/government/publications/composition-of-foods-integrated-dataset-cofid,OFFICIAL_COMPOSITION_DATASET,19-600,COFID-2021,OGL-3.0_EXCEPT_WHERE_OTHERWISE_STATED,PENDING_ROW_REVIEW,COFID_2021,SOURCE_REPORTED,EXACT_PROFILE_PENDING_RIGHTS
UK_IE,UK_IE:LOCAL_DISH:PREPARED:lasagne:extra_lean_beef_homemade,lasagne,extra_lean_beef_homemade,Ev Yapımı Ekstra Yağsız Dana Etli Lazanya,Homemade Extra-lean Beef Lasagne,Yağsız Dana Etli Lazanya,Extra-lean Beef Lasagne,PASTA_DISH,UK,PREPARED,https://www.gov.uk/government/publications/composition-of-foods-integrated-dataset-cofid,OFFICIAL_COMPOSITION_DATASET,19-482,COFID-2021,OGL-3.0_EXCEPT_WHERE_OTHERWISE_STATED,PENDING_ROW_REVIEW,COFID_2021,SOURCE_REPORTED,EXACT_PROFILE_PENDING_RIGHTS
UK_IE,UK_IE:LOCAL_DISH:PREPARED:lasagne:retail_reheated,lasagne,retail_reheated,Yeniden Isıtılmış Hazır Lazanya,Retail Lasagne Reheated,Hazır Lazanya,Retail Lasagne,PASTA_DISH,UK,PREPARED,https://www.gov.uk/government/publications/composition-of-foods-integrated-dataset-cofid,OFFICIAL_COMPOSITION_DATASET,19-523,COFID-2021,OGL-3.0_EXCEPT_WHERE_OTHERWISE_STATED,PENDING_ROW_REVIEW,COFID_2021,SOURCE_REPORTED,EXACT_PROFILE_PENDING_RIGHTS
UK_IE,UK_IE:LOCAL_DISH:PREPARED:lasagne:vegetable_retail,lasagne,vegetable_retail,Hazır Sebzeli Lazanya,Retail Vegetable Lasagne,Sebzeli Lazanya,Vegetable Lasagne,PASTA_DISH,UK,PREPARED,https://www.gov.uk/government/publications/composition-of-foods-integrated-dataset-cofid,OFFICIAL_COMPOSITION_DATASET,15-651,COFID-2021,OGL-3.0_EXCEPT_WHERE_OTHERWISE_STATED,PENDING_ROW_REVIEW,COFID_2021,SOURCE_REPORTED,EXACT_PROFILE_PENDING_RIGHTS
UK_IE,UK_IE:LOCAL_DISH:PREPARED:lentil_pie:homemade,lentil_pie,homemade,Ev Yapımı Mercimekli Pay,Homemade Lentil Pie,Mercimekli Pay,Lentil Pie,MAIN_DISH,UK,PREPARED,https://www.gov.uk/government/publications/composition-of-foods-integrated-dataset-cofid,OFFICIAL_COMPOSITION_DATASET,15-821,COFID-2021,OGL-3.0_EXCEPT_WHERE_OTHERWISE_STATED,PENDING_ROW_REVIEW,COFID_2021,SOURCE_REPORTED,EXACT_PROFILE_PENDING_RIGHTS
UK_IE,UK_IE:LOCAL_DISH:PREPARED:moussaka:meat_retail_reheated,moussaka,meat_retail_reheated,Yeniden Isıtılmış Hazır Etli Musakka,Retail Meat Moussaka Reheated,Hazır Etli Musakka,Retail Meat Moussaka,MAIN_DISH,UK,PREPARED,https://www.gov.uk/government/publications/composition-of-foods-integrated-dataset-cofid,OFFICIAL_COMPOSITION_DATASET,19-507,COFID-2021,OGL-3.0_EXCEPT_WHERE_OTHERWISE_STATED,PENDING_ROW_REVIEW,COFID_2021,SOURCE_REPORTED,EXACT_PROFILE_PENDING_RIGHTS
UK_IE,UK_IE:LOCAL_DISH:PREPARED:moussaka:vegetable_retail,moussaka,vegetable_retail,Hazır Sebzeli Musakka,Retail Vegetable Moussaka,Hazır Sebzeli Musakka,Retail Vegetable Moussaka,VEGETABLE_DISH,UK,PREPARED,https://www.gov.uk/government/publications/composition-of-foods-integrated-dataset-cofid,OFFICIAL_COMPOSITION_DATASET,15-652,COFID-2021,OGL-3.0_EXCEPT_WHERE_OTHERWISE_STATED,PENDING_ROW_REVIEW,COFID_2021,SOURCE_REPORTED,EXACT_PROFILE_PENDING_RIGHTS
UK_IE,UK_IE:LOCAL_DISH:PREPARED:vegetable_pasty:homemade,vegetable_pasty,homemade,Ev Yapımı Sebzeli Pasty,Homemade Vegetable Pasty,Sebzeli Pasty,Vegetable Pasty,PASTRY,UK,PREPARED,https://www.gov.uk/government/publications/composition-of-foods-integrated-dataset-cofid,OFFICIAL_COMPOSITION_DATASET,15-646,COFID-2021,OGL-3.0_EXCEPT_WHERE_OTHERWISE_STATED,PENDING_ROW_REVIEW,COFID_2021,SOURCE_REPORTED,EXACT_PROFILE_PENDING_RIGHTS
UK_IE,UK_IE:LOCAL_DISH:PREPARED:sweet_and_sour_pork:homemade,sweet_and_sour_pork,homemade,Ev Yapımı Tatlı Ekşi Soslu Domuz Eti,Homemade Sweet and Sour Pork,Tatlı Ekşi Domuz Eti,Sweet and Sour Pork,MAIN_DISH,UK,PREPARED,https://www.gov.uk/government/publications/composition-of-foods-integrated-dataset-cofid,OFFICIAL_COMPOSITION_DATASET,19-485,COFID-2021,OGL-3.0_EXCEPT_WHERE_OTHERWISE_STATED,PENDING_ROW_REVIEW,COFID_2021,SOURCE_REPORTED,EXACT_PROFILE_PENDING_RIGHTS
UK_IE,UK_IE:LOCAL_DISH:PREPARED:rice_pudding:whole_milk_homemade,rice_pudding,whole_milk_homemade,Ev Yapımı Tam Yağlı Sütlü Pirinç Pudingi,Homemade Whole-milk Rice Pudding,Pirinç Pudingi,Rice Pudding,DESSERT,UK_IE,PREPARED,https://www.gov.uk/government/publications/composition-of-foods-integrated-dataset-cofid,OFFICIAL_COMPOSITION_DATASET,12-608,COFID-2021,OGL-3.0_EXCEPT_WHERE_OTHERWISE_STATED,PENDING_ROW_REVIEW,COFID_2021,SOURCE_REPORTED,EXACT_PROFILE_PENDING_RIGHTS
UK_IE,UK_IE:LOCAL_DISH:PREPARED:quiche:cheese_egg_homemade,quiche,cheese_egg_homemade,Ev Yapımı Peynirli Yumurtalı Kiş,Homemade Cheese and Egg Quiche,Peynirli Yumurtalı Kiş,Cheese and Egg Quiche,PASTRY,UK,PREPARED,https://www.gov.uk/government/publications/composition-of-foods-integrated-dataset-cofid,OFFICIAL_COMPOSITION_DATASET,12-948,COFID-2021,OGL-3.0_EXCEPT_WHERE_OTHERWISE_STATED,PENDING_ROW_REVIEW,COFID_2021,SOURCE_REPORTED,EXACT_PROFILE_PENDING_RIGHTS
UK_IE,UK_IE:LOCAL_DISH:PREPARED:quiche:mushroom_homemade,quiche,mushroom_homemade,Ev Yapımı Mantarlı Kiş,Homemade Mushroom Quiche,Mantarlı Kiş,Mushroom Quiche,PASTRY,UK,PREPARED,https://www.gov.uk/government/publications/composition-of-foods-integrated-dataset-cofid,OFFICIAL_COMPOSITION_DATASET,12-954,COFID-2021,OGL-3.0_EXCEPT_WHERE_OTHERWISE_STATED,PENDING_ROW_REVIEW,COFID_2021,SOURCE_REPORTED,EXACT_PROFILE_PENDING_RIGHTS
UK_IE,UK_IE:LOCAL_DISH:PREPARED:quiche:vegetable_retail,quiche,vegetable_retail,Hazır Sebzeli Kiş,Retail Vegetable Quiche,Sebzeli Kiş,Vegetable Quiche,PASTRY,UK,PREPARED,https://www.gov.uk/government/publications/composition-of-foods-integrated-dataset-cofid,OFFICIAL_COMPOSITION_DATASET,12-949,COFID-2021,OGL-3.0_EXCEPT_WHERE_OTHERWISE_STATED,PENDING_ROW_REVIEW,COFID_2021,SOURCE_REPORTED,EXACT_PROFILE_PENDING_RIGHTS
UK_IE,UK_IE:LOCAL_DISH:PREPARED:risotto:vegetable_brown_rice,risotto,vegetable_brown_rice,Esmer Pirinçli Sebzeli Risotto,Brown-rice Vegetable Risotto,Sebzeli Risotto,Vegetable Risotto,RICE_DISH,UK,PREPARED,https://www.gov.uk/government/publications/composition-of-foods-integrated-dataset-cofid,OFFICIAL_COMPOSITION_DATASET,15-864,COFID-2021,OGL-3.0_EXCEPT_WHERE_OTHERWISE_STATED,PENDING_ROW_REVIEW,COFID_2021,SOURCE_REPORTED,EXACT_PROFILE_PENDING_RIGHTS
UK_IE,UK_IE:LOCAL_DISH:PREPARED:risotto:vegetable_white_rice,risotto,vegetable_white_rice,Ev Yapımı Beyaz Pirinçli Sebzeli Risotto,Homemade White-rice Vegetable Risotto,Sebzeli Risotto,Vegetable Risotto,RICE_DISH,UK,PREPARED,https://www.gov.uk/government/publications/composition-of-foods-integrated-dataset-cofid,OFFICIAL_COMPOSITION_DATASET,15-863,COFID-2021,OGL-3.0_EXCEPT_WHERE_OTHERWISE_STATED,PENDING_ROW_REVIEW,COFID_2021,SOURCE_REPORTED,EXACT_PROFILE_PENDING_RIGHTS
UK_IE,UK_IE:LOCAL_DISH:PREPARED:chicken_salad_sandwich:white_bread,chicken_salad_sandwich,white_bread,Beyaz Ekmekli Tavuk Salatalı Sandviç,Chicken Salad Sandwich on White Bread,Tavuklu Sandviç,Chicken Salad Sandwich,SANDWICH,UK,PREPARED,https://www.gov.uk/government/publications/composition-of-foods-integrated-dataset-cofid,OFFICIAL_COMPOSITION_DATASET,11-964,COFID-2021,OGL-3.0_EXCEPT_WHERE_OTHERWISE_STATED,PENDING_ROW_REVIEW,COFID_2021,SOURCE_REPORTED,EXACT_PROFILE_PENDING_RIGHTS
UK_IE,UK_IE:LOCAL_DISH:PREPARED:egg_mayonnaise_sandwich:white_bread,egg_mayonnaise_sandwich,white_bread,Beyaz Ekmekli Yumurtalı Mayonezli Sandviç,Egg Mayonnaise Sandwich on White Bread,Yumurtalı Sandviç,Egg Mayonnaise Sandwich,SANDWICH,UK,PREPARED,https://www.gov.uk/government/publications/composition-of-foods-integrated-dataset-cofid,OFFICIAL_COMPOSITION_DATASET,11-966,COFID-2021,OGL-3.0_EXCEPT_WHERE_OTHERWISE_STATED,PENDING_ROW_REVIEW,COFID_2021,SOURCE_REPORTED,EXACT_PROFILE_PENDING_RIGHTS
UK_IE,UK_IE:LOCAL_DISH:PREPARED:tuna_mayonnaise_sandwich:white_bread,tuna_mayonnaise_sandwich,white_bread,Beyaz Ekmekli Ton Balıklı Mayonezli Sandviç,Tuna Mayonnaise Sandwich on White Bread,Ton Balıklı Sandviç,Tuna Mayonnaise Sandwich,SANDWICH,UK,PREPARED,https://www.gov.uk/government/publications/composition-of-foods-integrated-dataset-cofid,OFFICIAL_COMPOSITION_DATASET,11-967,COFID-2021,OGL-3.0_EXCEPT_WHERE_OTHERWISE_STATED,PENDING_ROW_REVIEW,COFID_2021,SOURCE_REPORTED,EXACT_PROFILE_PENDING_RIGHTS
UK_IE,UK_IE:LOCAL_DISH:PREPARED:sweet_and_sour_chicken:takeaway,sweet_and_sour_chicken,takeaway,Paket Servis Tatlı Ekşi Tavuk,Sweet and Sour Chicken Takeaway,Tatlı Ekşi Tavuk,Sweet and Sour Chicken,MAIN_DISH,UK,PREPARED,https://www.gov.uk/government/publications/composition-of-foods-integrated-dataset-cofid,OFFICIAL_COMPOSITION_DATASET,19-324,COFID-2021,OGL-3.0_EXCEPT_WHERE_OTHERWISE_STATED,PENDING_ROW_REVIEW,COFID_2021,SOURCE_REPORTED,EXACT_PROFILE_PENDING_RIGHTS
UK_IE,UK_IE:LOCAL_DISH:PREPARED:sweet_and_sour_pork:battered_takeaway,sweet_and_sour_pork,battered_takeaway,Paket Servis Pane Tatlı Ekşi Domuz Eti,Battered Sweet and Sour Pork Takeaway,Pane Tatlı Ekşi Domuz Eti,Battered Sweet and Sour Pork,MAIN_DISH,UK,PREPARED,https://www.gov.uk/government/publications/composition-of-foods-integrated-dataset-cofid,OFFICIAL_COMPOSITION_DATASET,19-304,COFID-2021,OGL-3.0_EXCEPT_WHERE_OTHERWISE_STATED,PENDING_ROW_REVIEW,COFID_2021,SOURCE_REPORTED,EXACT_PROFILE_PENDING_RIGHTS
UK_IE,UK_IE:LOCAL_DISH:PREPARED:beef_stew:homemade,beef_stew,homemade,Ev Yapımı Dana Yahni,Homemade Beef Stew,Dana Yahni,Beef Stew,MAIN_DISH,UK_IE,PREPARED,https://www.gov.uk/government/publications/composition-of-foods-integrated-dataset-cofid,OFFICIAL_COMPOSITION_DATASET,19-473,COFID-2021,OGL-3.0_EXCEPT_WHERE_OTHERWISE_STATED,PENDING_ROW_REVIEW,COFID_2021,SOURCE_REPORTED,EXACT_PROFILE_PENDING_RIGHTS
UK_IE,UK_IE:LOCAL_DISH:PREPARED:irish_stew:lean_lamb_homemade,irish_stew,lean_lamb_homemade,Ev Yapımı Yağsız Kuzu Etli İrlanda Yahnisi,Homemade Irish Stew with Lean Lamb,Yağsız İrlanda Yahnisi,Lean-lamb Irish Stew,MAIN_DISH,Ireland,PREPARED,https://www.gov.uk/government/publications/composition-of-foods-integrated-dataset-cofid,OFFICIAL_COMPOSITION_DATASET,19-585,COFID-2021,OGL-3.0_EXCEPT_WHERE_OTHERWISE_STATED,PENDING_ROW_REVIEW,COFID_2021,SOURCE_REPORTED,EXACT_PROFILE_PENDING_RIGHTS
